Data,ID,Name,Class_1,Class_2,Class_3,Unit,Dim,Tick,Palette,ColourKey,Style,Prefix
hm5,GDE.Q.EX.nsq,Export of G&S (Nominal q/q% s.a.),Import/Export of G&SNominal q/q% s.a.,Import/Export of G&S,Exports G&S (Nominal q/q% s.a.),% s.a.,q/q%,.2f,qual,number,Line,NA
hm5,GDE.Q.EX.nay,Export of G&S (Nominal y/y%),Import/Export of G&SNominal y/y%,Import/Export of G&S,Exports G&S (Nominal y/y%),%,y/y%,.2f,qual,number,Line,NA
hm5,GDE.Q.EX.RA,Export of G&S (Real $m),Import/Export of G&SReal $m,Import/Export of G&S,Exports G&S (Real $m),NZDm(r),$m,",d",qual,number,Line,NA
hm5,GDE.Q.EX.RS,Export of G&S (Real $m s.a.),Import/Export of G&SReal $m s.a.,Import/Export of G&S,Exports G&S (Real $m s.a.),NZDm(r) s.a.,$m,",d",qual,number,Line,NA
hm5,GDE.Q.EX.rsq,Export of G&S (Real q/q% s.a.),Import/Export of G&SReal q/q% s.a.,Import/Export of G&S,Exports G&S (Real q/q% s.a.),%(r) s.a.,q/q%,.2f,qual,number,Line,NA
hm5,GDE.Q.EX.ray,Export of G&S (Real y/y%),Import/Export of G&SReal y/y%,Import/Export of G&S,Exports G&S (Real y/y%),%(r),y/y%,.2f,qual,number,Line,NA
hm5,GDE.Q.EM.NA,Import of G&S (Nominal $m),Import/Export of G&SNominal $m,Import/Export of G&S,Import G&S (Nominal $m),NZDm,$m,",d",qual,number,Line,NA
hm5,GDE.Q.EM.NS,Import of G&S (Nominal $m s.a.),Import/Export of G&SNominal $m s.a.,Import/Export of G&S,Import G&S (Nominal $m s.a.),NZDm s.a.,$m,",d",qual,number,Line,NA
hm5,GDE.Q.EM.nsq,Import of G&S (Nominal q/q% s.a.),Import/Export of G&SNominal q/q% s.a.,Import/Export of G&S,Import G&S (Nominal q/q% s.a.),% s.a.,q/q%,.2f,qual,number,Line,NA
hm5,GDE.Q.EM.nay,Import of G&S (Nominal y/y%),Import/Export of G&SNominal y/y%,Import/Export of G&S,Import G&S (Nominal y/y%),%,y/y%,.2f,qual,number,Line,NA
hm5,GDE.Q.EM.RA,Import of G&S (Real $m),Import/Export of G&SReal $m,Import/Export of G&S,Import G&S (Real $m),NZDm(r),$m,",d",qual,number,Line,NA
hm5,GDE.Q.EM.RS,Import of G&S (Real $m s.a.),Import/Export of G&SReal $m s.a.,Import/Export of G&S,Import G&S (Real $m s.a.),NZDm(r) s.a.,$m,",d",qual,number,Line,NA
hm5,GDE.Q.EM.rsq,Import of G&S (Real q/q% s.a.),Import/Export of G&SReal q/q% s.a.,Import/Export of G&S,Import G&S (Real q/q% s.a.),%(r) s.a.,q/q%,.2f,qual,number,Line,NA
hm5,GDE.Q.EM.ray,Import of G&S (Real y/y%),Import/Export of G&SReal y/y%,Import/Export of G&S,Import G&S (Real y/y%),%(r),y/y%,.2f,qual,number,Line,NA
hm6,NATF.Y.D04.na,National,NA,National,NA,m,Saving ($m),",d",manual,teal_dark,Bar,NA
hm6,ISAA.Y.I12.na,Businesses,NA,Businesses,NA,m,Saving ($m),",d",manual,teal_base,Bar,NA
hm6,ISAF.Y.I13.na,Financial intermediaries,NA,Financial intermediaries,NA,m,Saving ($m),",d",manual,teal_lite,Bar,NA
hm6,ISAG.Y.I13.na,General government,NA,General government,NA,m,Saving ($m),",d",manual,gold_lite,Bar,NA
hm6,ISAJ.Y.I12.na,Non-profit institutions serving households,NA,Non-profit institutions serving households,NA,m,Saving ($m),",d",manual,navy_lite,Bar,NA
hm6,ISAK.Y.I10.na,Households,NA,Households,NA,m,Saving ($m),",d",manual,navy_base,Bar,NA
hm6,ISAK.Y.I18.na,Household saving rate (%),NA,Households,NA,%,Household saving rate (%),.2f,manual,ruby_base,Line,NA
hm7,OTIT.Q.U1T.iaq,Terms of Trade,Terms of Trade (q/q%),(q/q%),NA,%,%,.1f,qual,number,Line,NA
hm7,OTIT.Q.U1T.iay,Terms of Trade,Terms of Trade (y/y%),(y/y%),NA,%,%,.1f,qual,number,Line,NA
hm7,BOPR.Q.TJ101.na,Current account balance to GDP ratio (%),Current account balance to GDP ratio (%),Current account balance to GDP ratio (%),NA,%,%,.1f,qual,number,Line,NA
hm7,BOPR.Q.TJ102.na,Net international investment position to GDP ratio (%),Net international investment position to GDP ratio (%),International Investment Position (NZD millions),NA,%,%,.1f,qual,number,Line,NA
hm7,BOP.Q.TB2.na,Balance on goods,Balance of Payments,Balance on goods,NA,NZDm,NZDm,",d",qual,number,Bar,NA
hm7,BOP.Q.TB3.na,Balance on services,Balance of Payments,Balance on services,NA,NZDm,NZDm,",d",qual,number,Bar,NA
