Date,Region,PropertyType,Number of establishments,Daily Capacity (stay-units available),Available monthly stay unit capacity,Occupancy rate (%),Total guest nights,Guest arrivals,Stay unit nights occupied,Domestic guest nights,International guest nights 
1/05/2013,Clutha,Total,30.00,550.00,17050.00,13.74,3760.00,2800.00,2343.00,2846.00,914.00
1/05/2002,Clutha,Total,24.00,450.00,13950.00,18.12,3753.00,2348.00,2528.00,2868.00,884.00
1/08/2002,Clutha,Total,23.00,399.00,12369.00,18.33,3535.00,1985.00,2267.00,2871.00,663.00
1/10/2002,Clutha,Total,24.00,450.00,13950.00,18.90,4155.00,2804.00,2636.00,2872.00,1281.00
1/07/2010,Clutha,Total,26.00,511.00,15841.00,13.52,3520.00,2424.00,2142.00,2876.00,644.00
1/10/2003,Clutha,Total,26.00,459.00,14229.00,16.59,4128.00,2621.00,2360.00,2882.00,1245.00
1/08/2019,Clutha,Total,30.00,616.00,19096.00,12.84,3900.00,2359.00,2451.00,2896.00,1004.00
1/06/2010,Clutha,Total,27.00,449.00,13470.00,15.76,3511.00,2372.00,2123.00,2910.00,601.00
1/09/2002,Clutha,Total,24.00,450.00,13500.00,17.42,3905.00,2433.00,2352.00,2917.00,988.00
1/07/2007,Clutha,Total,29.00,677.00,20987.00,10.88,3892.00,2239.00,2284.00,2934.00,958.00
1/09/2001,Clutha,Total,25.00,456.00,13680.00,17.05,4065.00,2542.00,2333.00,2971.00,1094.00
1/07/2015,Clutha,Total,31.00,615.00,19065.00,12.56,3490.00,1736.00,2395.00,2974.00,516.00
1/08/2007,Clutha,Total,29.00,677.00,20987.00,11.53,4040.00,2130.00,2419.00,2985.00,1055.00
1/11/2004,Clutha,Total,25.00,464.00,13920.00,22.08,5484.00,3509.00,3073.00,2988.00,2496.00
1/06/2016,Clutha,Total,31.00,619.00,18570.00,13.42,3663.00,1930.00,2492.00,3019.00,644.00
1/02/2005,Clutha,Total,27.00,505.00,14140.00,27.58,7017.00,4862.00,3900.00,3024.00,3994.00
1/07/2001,Clutha,Total,24.00,405.00,12555.00,18.12,3670.00,2153.00,2275.00,3030.00,640.00
1/09/2007,Clutha,Total,29.00,681.00,20430.00,12.75,4523.00,2564.00,2604.00,3032.00,1493.00
1/11/2006,Clutha,Total,28.00,646.00,19380.00,17.82,6397.00,4357.00,3454.00,3055.00,3341.00
1/08/2016,Clutha,Total,31.00,619.00,19189.00,14.53,4072.00,2054.00,2788.00,3083.00,989.00
1/05/2001,Clutha,Total,24.00,405.00,12555.00,20.76,4031.00,2592.00,2606.00,3125.00,906.00
1/09/2017,Clutha,Total,30.00,618.00,18540.00,14.13,4145.00,2321.00,2619.00,3127.00,1018.00
1/05/2010,Clutha,Total,30.00,550.00,17050.00,14.22,4107.00,2970.00,2425.00,3137.00,970.00
1/05/2011,Clutha,Total,32.00,581.00,18011.00,14.46,4206.00,2679.00,2604.00,3153.00,1053.00
1/08/2001,Clutha,Total,24.00,405.00,12555.00,19.51,4087.00,2530.00,2450.00,3177.00,910.00
1/05/2014,Clutha,Total,31.00,559.00,17329.00,14.75,4234.00,2950.00,2557.00,3181.00,1053.00
1/09/2012,Clutha,Total,31.00,597.00,17910.00,13.25,4086.00,2626.00,2373.00,3210.00,875.00
1/05/2008,Clutha,Total,31.00,629.00,19499.00,12.59,4400.00,3046.00,2454.00,3212.00,1188.00
1/09/2016,Clutha,Total,31.00,619.00,18570.00,14.81,4084.00,2372.00,2750.00,3218.00,866.00
1/06/2017,Clutha,Total,31.00,619.00,18570.00,14.28,3980.00,2172.00,2652.00,3225.00,755.00
1/06/2009,Fiordland,Total,30.00,1561.00,46830.00,11.32,8568.00,5552.00,5300.00,3231.00,5337.00
1/11/2013,Clutha,Total,31.00,613.00,18390.00,17.43,5703.00,4050.00,3206.00,3241.00,2462.00
1/08/2008,Fiordland,Total,35.00,1695.00,52545.00,11.71,11071.00,7345.00,6151.00,3244.00,7827.00
1/05/2015,Clutha,Total,31.00,615.00,19065.00,14.41,4264.00,2744.00,2747.00,3254.00,1010.00
1/10/2007,Clutha,Total,29.00,681.00,21111.00,13.53,5033.00,2789.00,2856.00,3254.00,1779.00
1/10/2001,Clutha,Total,24.00,441.00,13671.00,21.10,4884.00,3370.00,2884.00,3268.00,1615.00
1/10/2013,Clutha,Total,30.00,553.00,17143.00,16.38,4889.00,3124.00,2809.00,3298.00,1591.00
1/09/2019,Clutha,Total,28.00,604.00,18120.00,16.46,4392.00,2991.00,2983.00,3301.00,1091.00
1/05/2006,Clutha,Total,29.00,660.00,20460.00,13.19,4931.00,3231.00,2699.00,3333.00,1598.00
1/08/2017,Clutha,Total,29.00,614.00,19034.00,15.97,4532.00,2710.00,3040.00,3333.00,1199.00
1/05/2007,Clutha,Total,31.00,693.00,21483.00,12.08,4908.00,2796.00,2596.00,3336.00,1572.00
1/07/2016,Clutha,Total,30.00,598.00,18538.00,16.10,4279.00,2117.00,2984.00,3344.00,935.00
1/10/2006,Clutha,Total,28.00,646.00,20026.00,14.64,5665.00,3728.00,2932.00,3370.00,2295.00
1/06/2018,Clutha,Total,31.00,619.00,18570.00,14.82,4144.00,2318.00,2751.00,3375.00,769.00
1/10/2005,Clutha,Total,28.00,559.00,17329.00,17.72,5167.00,3179.00,3071.00,3375.00,1791.00
1/11/2010,Clutha,Total,33.00,677.00,20310.00,17.28,6009.00,4432.00,3509.00,3389.00,2620.00
