Date,Region,PropertyType,Number of establishments,Daily Capacity (stay-units available),Available monthly stay unit capacity,Occupancy rate (%),Total guest nights,Guest arrivals,Stay unit nights occupied,Domestic guest nights,International guest nights 
1/11/2016,Bay of Plenty ,Holiday Parks,17.00,2475.00,74250.00,19.15,28633.00,8638.00,14219.00,0.00,0.00
1/10/2016,West Coast,Backpackers,25.00,1561.00,48391.00,29.39,18262.00,13324.00,14220.00,0.00,0.00
1/10/2012,AuCkland,Holiday Parks,22.00,2629.00,81499.00,17.45,28252.00,13349.00,14222.00,0.00,0.00
1/09/2003,Queenstown,Motels,42.00,771.00,23130.00,61.50,41091.00,13375.00,14224.00,0.00,0.00
1/07/2005,Bay of Plenty ,Motels,62.00,937.00,29047.00,48.97,29873.00,14039.00,14224.00,0.00,0.00
1/03/2019,Bay of Plenty ,Backpackers,13.00,927.00,28737.00,49.50,15178.00,3854.00,14225.00,0.00,0.00
1/09/2015,Wellington City,Motels,30.00,712.00,21360.00,66.60,26282.00,12738.00,14225.00,0.00,0.00
1/02/2019,Taupo,Backpackers,14.00,966.00,27048.00,52.60,18807.00,10124.00,14227.00,0.00,0.00
1/08/2006,Rotorua,Backpackers,11.00,992.00,30752.00,46.27,15208.00,9232.00,14229.00,0.00,0.00
1/04/2009,Northland,Hotels,33.00,1222.00,36660.00,38.82,26552.00,11089.00,14230.00,0.00,0.00
1/09/2009,Dunedin,Motels,47.00,818.00,24540.00,57.99,28963.00,14870.00,14230.00,0.00,0.00
1/12/2011,Dunedin,Motels,45.00,788.00,24428.00,58.26,28453.00,14475.00,14232.00,0.00,0.00
1/05/2018,Queenstown,Motels,58.00,1229.00,38099.00,37.36,35931.00,13252.00,14233.00,0.00,0.00
1/02/2011,Marlborough,Motels,50.00,730.00,20440.00,69.63,27114.00,17246.00,14233.00,0.00,0.00
1/11/2002,Rotorua,Backpackers,11.00,993.00,29790.00,47.79,16444.00,8276.00,14236.00,0.00,0.00
1/02/2017,Marlborough,Backpackers,20.00,890.00,24920.00,57.13,19977.00,9631.00,14237.00,0.00,0.00
1/08/2005,Nelson-Tasman,Motels,84.00,1104.00,34224.00,41.61,24705.00,12254.00,14239.00,0.00,0.00
1/11/2013,Coromandel,Holiday Parks,24.00,3050.00,91500.00,15.56,28369.00,17897.00,14240.00,0.00,0.00
1/02/2003,Taupo,Backpackers,13.00,753.00,21084.00,67.55,16250.00,8060.00,14243.00,0.00,0.00
1/08/2009,Northland,Motels,142.00,1703.00,52793.00,26.98,26601.00,14930.00,14243.00,0.00,0.00
1/05/2010,West Coast,Backpackers,26.00,1603.00,49693.00,28.66,17712.00,11916.00,14244.00,0.00,0.00
1/11/2010,Taupo,Backpackers,17.00,1066.00,31980.00,44.55,15097.00,8624.00,14247.00,0.00,0.00
1/02/2007,Taranaki,Motels,45.00,743.00,20804.00,68.49,25347.00,13183.00,14249.00,0.00,0.00
1/10/2007,West Coast,Hotels,44.00,1329.00,41199.00,34.59,24175.00,18926.00,14251.00,0.00,0.00
1/10/2008,Northland,Backpackers,33.00,1364.00,42284.00,33.71,16034.00,6908.00,14252.00,0.00,0.00
1/12/2015,Rotorua,Holiday Parks,10.00,1389.00,43059.00,33.10,34912.00,14697.00,14252.00,0.00,0.00
1/07/2005,Rotorua,Backpackers,11.00,1035.00,32085.00,44.43,16030.00,9803.00,14255.00,0.00,0.00
1/12/2002,Taupo,Backpackers,13.00,747.00,23157.00,61.57,15440.00,7911.00,14257.00,0.00,0.00
1/06/2001,Wellington,Motels,49.00,942.00,28260.00,50.45,25915.00,14355.00,14257.00,0.00,0.00
1/09/2001,Nelson-Tasman,Motels,74.00,913.00,27390.00,52.05,26779.00,14525.00,14257.00,0.00,0.00
1/06/2007,Combined Canterbury RTOs,Holiday Parks,54.00,6311.00,189330.00,7.53,31814.00,18854.00,14257.00,0.00,0.00
1/02/2011,Marlborough,Backpackers,24.00,886.00,24808.00,57.47,16071.00,10706.00,14258.00,0.00,0.00
1/09/2017,Dunedin,Hotels,17.00,822.00,24660.00,57.82,23128.00,14197.00,14259.00,0.00,0.00
1/01/2016,Coromandel,Motels,64.00,670.00,20770.00,68.65,35255.00,15487.00,14259.00,0.00,0.00
1/10/2001,Queenstown,Motels,47.00,883.00,27373.00,52.10,35209.00,16256.00,14260.00,0.00,0.00
1/02/2014,Taranaki,Motels,45.00,775.00,21700.00,65.73,22627.00,12120.00,14263.00,0.00,0.00
1/04/2019,Rotorua,Holiday Parks,10.00,1393.00,41790.00,34.13,33440.00,11978.00,14264.00,0.00,0.00
1/07/2015,Wellington City,Motels,29.00,718.00,22258.00,64.09,27025.00,13166.00,14264.00,0.00,0.00
1/04/2012,Coromandel,Holiday Parks,26.00,2873.00,86190.00,16.55,31599.00,17060.00,14265.00,0.00,0.00
1/04/2003,Bay of Plenty ,Holiday Parks,21.00,2995.00,89850.00,15.88,25060.00,10058.00,14266.00,0.00,0.00
1/07/2014,Bay of Plenty ,Motels,53.00,943.00,29233.00,48.81,27537.00,13918.00,14268.00,0.00,0.00
1/05/2006,Bay of Plenty ,Motels,60.00,914.00,28334.00,50.37,27291.00,13407.00,14272.00,0.00,0.00
1/10/2004,Bay of Plenty ,Motels,58.00,916.00,28396.00,50.29,27987.00,16299.00,14279.00,0.00,0.00
1/05/2014,Bay of Plenty ,Motels,52.00,920.00,28520.00,50.07,25939.00,13725.00,14280.00,0.00,0.00
1/04/2002,Bay of Plenty ,Motels,57.00,862.00,25860.00,55.23,27718.00,15669.00,14282.00,0.00,0.00
1/05/2013,Nelson-Tasman,Backpackers,28.00,1203.00,37293.00,38.30,17241.00,7659.00,14283.00,0.00,0.00
1/07/2011,Bay of Plenty ,Holiday Parks,18.00,2802.00,86862.00,16.45,32303.00,5297.00,14287.00,0.00,0.00
1/12/2003,Taupo,Holiday Parks,12.00,1660.00,51460.00,27.77,30732.00,13626.00,14288.00,0.00,0.00
1/01/2002,Northland,Hotels,32.00,960.00,29760.00,48.01,27136.00,12651.00,14289.00,0.00,0.00
1/10/2010,Dunedin,Motels,45.00,780.00,24180.00,59.09,26849.00,14132.00,14289.00,0.00,0.00
1/12/2015,Wellington City,Motels,30.00,714.00,22134.00,64.56,28658.00,15486.00,14289.00,0.00,0.00
1/10/2015,AuCkland,Holiday Parks,23.00,2588.00,80228.00,17.81,29026.00,12491.00,14291.00,0.00,0.00
1/05/2015,Bay of Plenty ,Motels,52.00,938.00,29078.00,49.16,26711.00,13946.00,14293.00,0.00,0.00
1/05/2003,Taupo,Motels,66.00,1100.00,34100.00,41.91,28512.00,19686.00,14293.00,0.00,0.00
1/11/2010,Taranaki,Motels,48.00,812.00,24360.00,58.68,23565.00,12620.00,14294.00,0.00,0.00
1/03/2017,Fiordland,Backpackers,7.00,698.00,21638.00,66.06,15076.00,6755.00,14295.00,0.00,0.00
1/05/2009,Wellington City,Motels,38.00,852.00,26412.00,54.12,26329.00,14320.00,14295.00,0.00,0.00
1/11/2002,Wellington City,Motels,28.00,664.00,19920.00,71.77,24843.00,12896.00,14296.00,0.00,0.00
1/11/2006,Waikato,Hotels,27.00,943.00,28290.00,50.54,26837.00,14723.00,14297.00,0.00,0.00
1/04/2014,Bay of Plenty ,Holiday Parks,19.00,2653.00,79590.00,17.97,33894.00,9986.00,14300.00,0.00,0.00
1/01/2017,Fiordland,Backpackers,7.00,698.00,21638.00,66.09,14986.00,0.00,14301.00,0.00,0.00
1/06/2001,Wellington City,Backpackers,7.00,723.00,21690.00,65.93,15445.00,7809.00,14301.00,0.00,0.00
1/04/2011,Queenstown,Motels,49.00,1141.00,34230.00,41.79,33479.00,13375.00,14304.00,0.00,0.00
1/07/2009,Dunedin,Motels,48.00,828.00,25668.00,55.73,28340.00,13835.00,14306.00,0.00,0.00
1/03/2015,Waikato,Holiday Parks,22.00,1959.00,60729.00,23.56,26540.00,14761.00,14306.00,0.00,0.00
1/05/2018,Taupo,Motels,61.00,1096.00,33976.00,42.11,26846.00,17612.00,14306.00,0.00,0.00
1/12/2015,Marlborough,Backpackers,23.00,1167.00,36177.00,39.55,18079.00,10113.00,14307.00,0.00,0.00
1/04/2001,Nelson-Tasman,Holiday Parks,17.00,3404.00,102120.00,14.01,31017.00,11620.00,14308.00,0.00,0.00
1/05/2009,Nelson-Tasman,Motels,99.00,1281.00,39711.00,36.03,25480.00,13308.00,14308.00,0.00,0.00
1/01/2019,Taranaki,Motels,46.00,817.00,25327.00,56.50,28765.00,15787.00,14308.00,0.00,0.00
1/04/2011,Taranaki,Motels,51.00,832.00,24960.00,57.33,24295.00,11829.00,14309.00,0.00,0.00
1/10/2005,Dunedin,Motels,48.00,716.00,22196.00,64.47,27020.00,14277.00,14309.00,0.00,0.00
1/10/2009,Bay of Plenty ,Motels,61.00,964.00,29884.00,47.89,27674.00,13261.00,14312.00,0.00,0.00
1/04/2013,Waikato,Hotels,24.00,972.00,29160.00,49.08,25532.00,12679.00,14313.00,0.00,0.00
1/06/2013,Waikato,Hotels,22.00,947.00,28410.00,50.40,24278.00,10973.00,14317.00,0.00,0.00
1/08/2018,Dunedin,Motels,45.00,786.00,24366.00,58.76,25226.00,12295.00,14318.00,0.00,0.00
1/02/2011,Waikato,Hotels,26.00,994.00,27832.00,51.45,23287.00,14219.00,14318.00,0.00,0.00
1/04/2006,Taupo,Backpackers,17.00,1101.00,33030.00,43.35,15136.00,7198.00,14319.00,0.00,0.00
1/04/2013,Manawatu,Motels,61.00,1042.00,31260.00,45.81,23513.00,14471.00,14320.00,0.00,0.00
1/05/2013,Taupo,Motels,67.00,1177.00,36487.00,39.25,25877.00,16236.00,14320.00,0.00,0.00
1/03/2010,West Coast,Holiday Parks,18.00,1679.00,52049.00,27.51,30697.00,24168.00,14321.00,0.00,0.00
1/03/2009,Coromandel,Holiday Parks,23.00,2409.00,74679.00,19.18,29261.00,16712.00,14322.00,0.00,0.00
1/05/2014,Taupo,Motels,67.00,1158.00,35898.00,39.90,27692.00,17790.00,14322.00,0.00,0.00
1/04/2012,Bay of Plenty ,Holiday Parks,18.00,2808.00,84240.00,17.00,31112.00,10669.00,14324.00,0.00,0.00
1/11/2010,Bay of Plenty ,Holiday Parks,18.00,2843.00,85290.00,16.80,26655.00,8856.00,14327.00,0.00,0.00
1/08/2014,Northland,Motels,124.00,1543.00,47833.00,29.96,25441.00,14346.00,14331.00,0.00,0.00
1/01/2016,Gisborne,Holiday Parks,9.00,1483.00,45973.00,31.18,40688.00,7494.00,14335.00,0.00,0.00
1/01/2001,Northland,Hotels,31.00,893.00,27683.00,51.78,28187.00,12624.00,14335.00,0.00,0.00
1/11/2001,Queenstown,Motels,47.00,883.00,26490.00,54.13,31815.00,16148.00,14338.00,0.00,0.00
1/09/2005,Dunedin,Motels,47.00,708.00,21240.00,67.51,28893.00,14035.00,14340.00,0.00,0.00
1/11/2015,Taranaki,Motels,45.00,769.00,23070.00,62.17,22579.00,11464.00,14342.00,0.00,0.00
1/06/2016,Taupo,Motels,64.00,1139.00,34170.00,41.97,28844.00,18381.00,14342.00,0.00,0.00
1/05/2010,Wellington City,Motels,40.00,959.00,29729.00,48.25,25078.00,11519.00,14344.00,0.00,0.00
1/07/2010,Waikato,Hotels,25.00,1008.00,31248.00,45.91,23577.00,13842.00,14344.00,0.00,0.00
1/10/2015,Northland,Hotels,28.00,1144.00,35464.00,40.47,25663.00,12472.00,14352.00,0.00,0.00
1/11/2005,Bay of Plenty ,Motels,61.00,920.00,27600.00,52.01,27437.00,15384.00,14354.00,0.00,0.00
1/12/2011,Central Otago,Holiday Parks,11.00,2286.00,70866.00,20.26,27305.00,11905.00,14356.00,0.00,0.00
1/01/2018,Taranaki,Motels,46.00,801.00,24831.00,57.85,29481.00,16077.00,14365.00,0.00,0.00
1/04/2009,Dunedin,Hotels,18.00,766.00,22980.00,62.52,23462.00,13618.00,14366.00,0.00,0.00
1/07/2017,Dunedin,Motels,45.00,766.00,23746.00,60.50,26962.00,13533.00,14367.00,0.00,0.00
1/03/2015,Taranaki,Motels,44.00,767.00,23777.00,60.43,23514.00,12782.00,14368.00,0.00,0.00
1/09/2013,Dunedin,Hotels,20.00,819.00,24570.00,58.49,23228.00,14546.00,14371.00,0.00,0.00
1/01/2015,Waikato,Backpackers,14.00,824.00,25544.00,56.30,16071.00,7222.00,14380.00,0.00,0.00
1/05/2009,Rotorua,Backpackers,12.00,1088.00,33728.00,42.64,14934.00,8413.00,14383.00,0.00,0.00
1/01/2013,Taranaki,Holiday Parks,13.00,1200.00,37200.00,38.67,35492.00,10286.00,14384.00,0.00,0.00
1/11/2016,West Coast,Holiday Parks,19.00,1669.00,50070.00,28.73,31076.00,21898.00,14384.00,0.00,0.00
1/10/2012,Dunedin,Motels,45.00,764.00,23684.00,60.74,27544.00,13813.00,14385.00,0.00,0.00
1/07/2016,Wellington City,Motels,30.00,723.00,22413.00,64.18,27694.00,12620.00,14386.00,0.00,0.00
1/12/2008,Central Otago,Holiday Parks,11.00,2380.00,73780.00,19.50,32246.00,12380.00,14388.00,0.00,0.00
1/12/2003,Rotorua,Holiday Parks,13.00,1353.00,41943.00,34.31,34780.00,16161.00,14390.00,0.00,0.00
1/04/2008,Waikato,Hotels,26.00,1040.00,31200.00,46.13,23172.00,13260.00,14391.00,0.00,0.00
1/05/2008,West Coast,Motels,71.00,1254.00,38874.00,37.02,24718.00,16358.00,14393.00,0.00,0.00
1/01/2003,Marlborough,Motels,48.00,601.00,18631.00,77.25,35347.00,22760.00,14393.00,0.00,0.00
1/03/2014,Northland,Backpackers,26.00,1256.00,38936.00,36.97,15987.00,6318.00,14394.00,0.00,0.00
1/12/2013,Taupo,Backpackers,14.00,871.00,27001.00,53.33,16673.00,8798.00,14400.00,0.00,0.00
1/10/2017,West Coast,Hotels,31.00,1075.00,33325.00,43.21,25404.00,20601.00,14400.00,0.00,0.00
1/12/2011,Taupo,Backpackers,16.00,1056.00,32736.00,43.99,17956.00,9427.00,14402.00,0.00,0.00
1/08/2014,Dunedin,Hotels,19.00,813.00,25203.00,57.15,23662.00,13402.00,14403.00,0.00,0.00
1/02/2010,Marlborough,Backpackers,24.00,911.00,25508.00,56.47,16542.00,8763.00,14405.00,0.00,0.00
1/09/2015,Nelson-Tasman,Motels,88.00,1198.00,35940.00,40.08,24964.00,12829.00,14406.00,0.00,0.00
1/02/2001,Manawatu,Motels,55.00,890.00,24920.00,57.81,26504.00,15599.00,14406.00,0.00,0.00
1/01/2002,Marlborough,Holiday Parks,17.00,1368.00,42408.00,33.97,37637.00,18264.00,14408.00,0.00,0.00
1/09/2013,Bay of Plenty ,Motels,53.00,923.00,27690.00,52.04,27610.00,12764.00,14411.00,0.00,0.00
1/10/2008,Dunedin,Hotels,18.00,766.00,23746.00,60.69,21412.00,13428.00,14411.00,0.00,0.00
1/02/2014,Waikato,Hotels,24.00,1038.00,29064.00,49.59,23826.00,13395.00,14412.00,0.00,0.00
1/10/2012,Waikato,Hotels,24.00,963.00,29853.00,48.28,24419.00,12831.00,14413.00,0.00,0.00
1/11/2014,Coromandel,Holiday Parks,25.00,3177.00,95310.00,15.12,29735.00,17734.00,14413.00,0.00,0.00
1/02/2014,Bay of Plenty ,Backpackers,16.00,1043.00,29204.00,49.36,16797.00,6330.00,14415.00,0.00,0.00
1/05/2016,Nelson-Tasman,Backpackers,27.00,1314.00,40734.00,35.39,16152.00,7227.00,14416.00,0.00,0.00
1/05/2015,Rotorua,Backpackers,16.00,2333.00,72323.00,19.94,15774.00,8007.00,14420.00,0.00,0.00
1/07/2015,Rotorua,Backpackers,16.00,2333.00,72323.00,19.94,15651.00,8494.00,14421.00,0.00,0.00
1/06/2017,Queenstown,Motels,55.00,1124.00,33720.00,42.77,37463.00,11619.00,14421.00,0.00,0.00
1/04/2010,AuCkland,Holiday Parks,23.00,2751.00,82530.00,17.47,32942.00,15911.00,14421.00,0.00,0.00
1/04/2007,Nelson-Tasman,Holiday Parks,22.00,4006.00,120180.00,12.00,34054.00,14368.00,14426.00,0.00,0.00
1/06/2009,Rotorua,Motels,77.00,1395.00,41850.00,34.47,30245.00,17532.00,14427.00,0.00,0.00
1/03/2019,Marlborough,Holiday Parks,15.00,1158.00,35898.00,40.19,25488.00,13792.00,14428.00,0.00,0.00
1/03/2018,Wanaka,Backpackers,9.00,550.00,17050.00,84.63,16647.00,9928.00,14429.00,0.00,0.00
1/01/2016,Fiordland,Backpackers,7.00,767.00,23777.00,60.69,14942.00,6683.00,14430.00,0.00,0.00
1/09/2013,Waikato,Hotels,24.00,970.00,29100.00,49.59,25429.00,11910.00,14431.00,0.00,0.00
1/10/2016,Dunedin,Motels,45.00,730.00,22630.00,63.77,26906.00,13658.00,14431.00,0.00,0.00
1/08/2014,Waikato,Hotels,22.00,993.00,30783.00,46.89,21555.00,11593.00,14434.00,0.00,0.00
1/04/2013,West Coast,Motels,72.00,1052.00,31560.00,45.74,33652.00,23085.00,14436.00,0.00,0.00
1/03/2018,Bay of Plenty ,Backpackers,13.00,927.00,28737.00,50.24,15535.00,4239.00,14437.00,0.00,0.00
1/08/2014,Manawatu,Motels,61.00,1048.00,32488.00,44.45,24354.00,14782.00,14440.00,0.00,0.00
1/02/2018,Waikato,Holiday Parks,23.00,2019.00,56532.00,25.55,29427.00,16248.00,14441.00,0.00,0.00
1/09/2014,Waikato,Hotels,21.00,924.00,27720.00,52.10,23312.00,11328.00,14442.00,0.00,0.00
1/06/2018,Nelson-Tasman,Motels,85.00,1232.00,36960.00,39.08,24852.00,12128.00,14445.00,0.00,0.00
1/05/2013,Nelson-Tasman,Motels,97.00,1262.00,39122.00,36.93,23350.00,11685.00,14447.00,0.00,0.00
1/12/2016,Taupo,Backpackers,15.00,925.00,28675.00,50.39,15569.00,8749.00,14450.00,0.00,0.00
1/08/2007,Dunedin,Motels,46.00,776.00,24056.00,60.07,26752.00,13897.00,14450.00,0.00,0.00
1/07/2012,Wellington City,Motels,36.00,881.00,27311.00,52.92,26898.00,12363.00,14454.00,0.00,0.00
1/04/2016,Bay of Plenty ,Backpackers,14.00,959.00,28770.00,50.24,15145.00,2658.00,14455.00,0.00,0.00
1/02/2007,Marlborough,Backpackers,21.00,793.00,22204.00,65.10,17248.00,9740.00,14455.00,0.00,0.00
1/11/2012,Dunedin,Hotels,19.00,796.00,23880.00,60.53,22973.00,14981.00,14455.00,0.00,0.00
1/07/2019,Dunedin,Motels,43.00,774.00,23994.00,60.25,26297.00,13339.00,14456.00,0.00,0.00
1/12/2009,Wanaka,Holiday Parks,6.00,1464.00,45384.00,31.87,30615.00,10004.00,14462.00,0.00,0.00
1/10/2006,Dunedin,Hotels,21.00,846.00,26226.00,55.14,23407.00,14931.00,14462.00,0.00,0.00
1/03/2003,Taupo,Backpackers,13.00,753.00,23343.00,61.96,16387.00,7787.00,14464.00,0.00,0.00
1/11/2018,Bay of Plenty ,Backpackers,13.00,925.00,27750.00,52.14,15608.00,2912.00,14469.00,0.00,0.00
1/06/2009,Hawke's Bay,Motels,77.00,1390.00,41700.00,34.71,23798.00,13518.00,14474.00,0.00,0.00
1/06/2001,Taupo,Motels,71.00,1127.00,33810.00,42.81,30897.00,20817.00,14474.00,0.00,0.00
1/10/2011,Northland,Backpackers,29.00,1228.00,38068.00,38.02,15678.00,6994.00,14475.00,0.00,0.00
1/04/2010,Northland,Hotels,34.00,1256.00,37680.00,38.42,26357.00,12358.00,14476.00,0.00,0.00
1/02/2004,Marlborough,Motels,48.00,645.00,18705.00,77.40,30547.00,20171.00,14477.00,0.00,0.00
1/10/2011,Waikato,Hotels,25.00,985.00,30535.00,47.41,25500.00,11680.00,14478.00,0.00,0.00
1/04/2012,Nelson-Tasman,Holiday Parks,23.00,3951.00,118530.00,12.22,33702.00,14921.00,14479.00,0.00,0.00
1/12/2014,Manawatu,Motels,62.00,1059.00,32829.00,44.11,26339.00,16607.00,14480.00,0.00,0.00
1/05/2010,Northland,Holiday Parks,46.00,6042.00,187302.00,7.73,23153.00,10053.00,14486.00,0.00,0.00
1/05/2017,Dunedin,Hotels,18.00,830.00,25730.00,56.31,23210.00,14128.00,14487.00,0.00,0.00
1/10/2014,West Coast,Motels,72.00,1023.00,31713.00,45.68,31371.00,20229.00,14487.00,0.00,0.00
1/01/2018,Whakatane-Kawerau,Holiday Parks,7.00,1386.00,42966.00,33.73,45717.00,7768.00,14491.00,0.00,0.00
1/10/2009,Dunedin,Motels,47.00,815.00,25265.00,57.36,27921.00,14999.00,14492.00,0.00,0.00
1/12/2014,Hawke's Bay,Holiday Parks,20.00,1825.00,56575.00,25.62,31442.00,12589.00,14493.00,0.00,0.00
1/10/2012,Bay of Plenty ,Holiday Parks,19.00,2841.00,88071.00,16.46,26122.00,9202.00,14494.00,0.00,0.00
1/05/2016,Wellington City,Motels,30.00,723.00,22413.00,64.67,22782.00,11760.00,14494.00,0.00,0.00
1/05/2011,Bay of Plenty ,Holiday Parks,18.00,2802.00,86862.00,16.69,31278.00,7794.00,14497.00,0.00,0.00
1/09/2008,Dunedin,Motels,44.00,779.00,23370.00,62.04,28668.00,13739.00,14498.00,0.00,0.00
1/05/2016,West Coast,Backpackers,25.00,1531.00,47461.00,30.55,16834.00,11046.00,14500.00,0.00,0.00
1/06/2001,Hawke's Bay,Motels,61.00,1124.00,33720.00,43.00,25367.00,14969.00,14500.00,0.00,0.00
1/07/2011,Canterbury,Holiday Parks,36.00,4196.00,130076.00,11.15,28056.00,11917.00,14503.00,0.00,0.00
1/11/2010,Northland,Hotels,35.00,1271.00,38130.00,38.05,26362.00,12751.00,14507.00,0.00,0.00
1/05/2009,Taupo,Motels,73.00,1238.00,38378.00,37.81,28314.00,18664.00,14512.00,0.00,0.00
1/05/2010,Northland,Backpackers,32.00,1325.00,41075.00,35.33,16200.00,6366.00,14513.00,0.00,0.00
1/09/2007,Bay of Plenty ,Motels,61.00,1007.00,30210.00,48.06,30858.00,14611.00,14519.00,0.00,0.00
1/06/2016,Manawatu,Motels,64.00,1088.00,32640.00,44.49,24241.00,14293.00,14522.00,0.00,0.00
1/02/2010,Marlborough,Motels,51.00,719.00,20132.00,72.16,28784.00,17316.00,14526.00,0.00,0.00
1/11/2018,Queenstown,Holiday Parks,8.00,1119.00,33570.00,43.27,33958.00,17682.00,14526.00,0.00,0.00
1/11/2001,Manawatu,Motels,55.00,901.00,27030.00,53.74,26534.00,16820.00,14527.00,0.00,0.00
1/03/2007,Marlborough,Backpackers,21.00,793.00,24583.00,59.11,16684.00,8737.00,14531.00,0.00,0.00
1/11/2014,Hawke's Bay,Backpackers,18.00,851.00,25530.00,56.92,15563.00,3226.00,14532.00,0.00,0.00
1/01/2019,Bay of Plenty ,Backpackers,13.00,927.00,28737.00,50.57,15721.00,5026.00,14533.00,0.00,0.00
1/06/2015,Waikato,Hotels,20.00,898.00,26940.00,53.96,21064.00,10889.00,14538.00,0.00,0.00
1/08/2008,Waikato,Hotels,26.00,1042.00,32302.00,45.01,20579.00,11074.00,14540.00,0.00,0.00
1/10/2016,Bay of Plenty ,Holiday Parks,17.00,2474.00,76694.00,18.96,27038.00,7743.00,14541.00,0.00,0.00
1/03/2014,Marlborough,Motels,49.00,769.00,23839.00,61.00,27911.00,17097.00,14542.00,0.00,0.00
1/04/2016,Hawke's Bay,Backpackers,19.00,876.00,26280.00,55.34,15835.00,2075.00,14543.00,0.00,0.00
1/12/2018,Hawke's Bay,Backpackers,13.00,687.00,21297.00,68.30,16737.00,4187.00,14545.00,0.00,0.00
1/04/2009,Dunedin,Motels,48.00,828.00,24840.00,58.57,30350.00,16778.00,14548.00,0.00,0.00
1/05/2019,Taupo,Motels,60.00,1093.00,33883.00,42.94,28642.00,17700.00,14548.00,0.00,0.00
1/06/2014,Rotorua,Motels,78.00,1393.00,41790.00,34.81,33064.00,19213.00,14549.00,0.00,0.00
1/05/2015,Taupo,Motels,65.00,1129.00,34999.00,41.59,28886.00,17650.00,14557.00,0.00,0.00
1/06/2011,Wellington City,Motels,37.00,890.00,26700.00,54.52,24569.00,11800.00,14558.00,0.00,0.00
1/09/2016,Northland,Holiday Parks,45.00,5814.00,174420.00,8.35,26339.00,11423.00,14559.00,0.00,0.00
1/07/2010,Northland,Motels,130.00,1583.00,49073.00,29.67,27655.00,15329.00,14559.00,0.00,0.00
1/09/2005,Ruapehu,Backpackers,14.00,914.00,27420.00,53.10,16218.00,6216.00,14560.00,0.00,0.00
1/05/2004,Northland,Backpackers,33.00,1318.00,40858.00,35.64,16753.00,5964.00,14561.00,0.00,0.00
1/12/2007,Gisborne,Holiday Parks,12.00,1735.00,53785.00,27.07,33658.00,14857.00,14562.00,0.00,0.00
1/03/2009,AuCkland,Holiday Parks,23.00,2591.00,80321.00,18.13,29002.00,15487.00,14562.00,0.00,0.00
1/05/2006,Northland,Backpackers,36.00,1433.00,44423.00,32.78,16209.00,6181.00,14563.00,0.00,0.00
1/10/2017,Nelson-Tasman,Holiday Parks,20.00,3181.00,98611.00,14.77,29780.00,9183.00,14563.00,0.00,0.00
1/12/2013,Northland,Backpackers,26.00,1219.00,37789.00,38.54,18396.00,8345.00,14565.00,0.00,0.00
1/10/2006,West Coast,Hotels,44.00,1310.00,40610.00,35.87,25130.00,19796.00,14566.00,0.00,0.00
1/05/2011,Wellington City,Motels,37.00,899.00,27869.00,52.27,25118.00,12236.00,14568.00,0.00,0.00
1/12/2015,Manawatu,Motels,64.00,1076.00,33356.00,43.67,26438.00,16263.00,14568.00,0.00,0.00
1/08/2008,Northland,Motels,141.00,1549.00,48019.00,30.34,25449.00,13794.00,14571.00,0.00,0.00
1/04/2011,Coromandel,Holiday Parks,25.00,2579.00,77370.00,18.83,31921.00,17933.00,14572.00,0.00,0.00
1/05/2010,Nelson-Tasman,Motels,100.00,1323.00,41013.00,35.54,24850.00,13406.00,14577.00,0.00,0.00
1/01/2014,Dunedin,Motels,46.00,772.00,23932.00,60.91,30641.00,17589.00,14577.00,0.00,0.00
1/06/2006,Manawatu,Motels,64.00,1023.00,30690.00,47.50,24773.00,14757.00,14579.00,0.00,0.00
1/04/2008,Dunedin,Hotels,17.00,726.00,21780.00,66.94,21454.00,14321.00,14580.00,0.00,0.00
1/04/2016,Northland,Hotels,28.00,1154.00,34620.00,42.11,27501.00,15358.00,14580.00,0.00,0.00
1/07/2002,Waikato,Hotels,31.00,911.00,28241.00,51.63,19629.00,9987.00,14582.00,0.00,0.00
1/10/2004,Dunedin,Hotels,20.00,791.00,24521.00,59.48,22959.00,15181.00,14584.00,0.00,0.00
1/07/2019,AuCkland,Holiday Parks,21.00,2514.00,77934.00,18.72,22999.00,6346.00,14586.00,0.00,0.00
1/12/2002,Rotorua,Backpackers,11.00,993.00,30783.00,47.38,16655.00,8287.00,14586.00,0.00,0.00
1/05/2011,Canterbury,Backpackers,38.00,1966.00,60946.00,23.93,17139.00,9083.00,14586.00,0.00,0.00
1/01/2019,Waikato,Backpackers,14.00,741.00,22971.00,63.51,16823.00,9579.00,14589.00,0.00,0.00
1/12/2010,Wellington City,Motels,38.00,899.00,27869.00,52.35,29474.00,14508.00,14589.00,0.00,0.00
1/06/2008,Rotorua,Backpackers,13.00,1006.00,30180.00,48.35,15396.00,7621.00,14591.00,0.00,0.00
1/03/2016,Fiordland,Hotels,6.00,559.00,17329.00,84.20,28291.00,13669.00,14591.00,0.00,0.00
1/01/2016,Fiordland,Hotels,6.00,559.00,17329.00,84.24,29497.00,13454.00,14599.00,0.00,0.00
1/10/2007,Taranaki,Motels,46.00,758.00,23498.00,62.15,25231.00,12156.00,14605.00,0.00,0.00
1/11/2010,Queenstown,Motels,50.00,1172.00,35160.00,41.54,33595.00,14154.00,14605.00,0.00,0.00
1/04/2014,Waikato,Hotels,24.00,1068.00,32040.00,45.58,25190.00,14492.00,14605.00,0.00,0.00
