STATISTIC,Statistic Label,TLIST(A1),Year,C02164V02610,Type of Accommodation Used,C02276V02746,Domestic,UNIT,VALUE
HTA05C1,Number of Trips by Irish Residents,2003,2003,93,Hotel/conference centre,02,Outbound,Thousand,1949
HTA05C1,Number of Trips by Irish Residents,2003,2003,94,Self catering/rented house,01,Domestic,Thousand,576
HTA05C1,Number of Trips by Irish Residents,2003,2003,94,Self catering/rented house,02,Outbound,Thousand,1098
HTA05C1,Number of Trips by Irish Residents,2003,2003,999,Other,01,Domestic,Thousand,298
HTA05C1,Number of Trips by Irish Residents,2003,2003,999,Other,02,Outbound,Thousand,248
HTA05C2,Number of Nights by Irish Residents,2003,2003,-,All types of accommodation,01,Domestic,Thousand,23616
HTA05C2,Number of Nights by Irish Residents,2003,2003,-,All types of accommodation,02,Outbound,Thousand,43702
HTA05C2,Number of Nights by Irish Residents,2003,2003,134,Caravan/camping,01,Domestic,Thousand,1879
HTA05C2,Number of Nights by Irish Residents,2003,2003,134,Caravan/camping,02,Outbound,Thousand,2285
HTA05C2,Number of Nights by Irish Residents,2003,2003,222,Friends/relatives,01,Domestic,Thousand,7175
HTA05C2,Number of Nights by Irish Residents,2003,2003,222,Friends/relatives,02,Outbound,Thousand,9055
HTA05C2,Number of Nights by Irish Residents,2003,2003,224,Own holiday home,01,Domestic,Thousand,1572
HTA05C2,Number of Nights by Irish Residents,2003,2003,224,Own holiday home,02,Outbound,Thousand,1410
HTA05C2,Number of Nights by Irish Residents,2003,2003,92,Guest house/bed &breakfast,01,Domestic,Thousand,2067
HTA05C2,Number of Nights by Irish Residents,2003,2003,92,Guest house/bed &breakfast,02,Outbound,Thousand,2112
HTA05C2,Number of Nights by Irish Residents,2003,2003,93,Hotel/conference centre,01,Domestic,Thousand,5762
HTA05C2,Number of Nights by Irish Residents,2003,2003,93,Hotel/conference centre,02,Outbound,Thousand,12260
HTA05C2,Number of Nights by Irish Residents,2003,2003,94,Self catering/rented house,01,Domestic,Thousand,3754
HTA05C2,Number of Nights by Irish Residents,2003,2003,94,Self catering/rented house,02,Outbound,Thousand,13494
HTA05C2,Number of Nights by Irish Residents,2003,2003,999,Other,01,Domestic,Thousand,1407
HTA05C2,Number of Nights by Irish Residents,2003,2003,999,Other,02,Outbound,Thousand,3087
HTA05C3,Average Length of Stay by Irish Residents,2003,2003,-,All types of accommodation,01,Domestic,Nights per Trip,3.5
HTA05C3,Average Length of Stay by Irish Residents,2003,2003,-,All types of accommodation,02,Outbound,Nights per Trip,8.8
HTA05C3,Average Length of Stay by Irish Residents,2003,2003,134,Caravan/camping,01,Domestic,Nights per Trip,6.7
HTA05C3,Average Length of Stay by Irish Residents,2003,2003,134,Caravan/camping,02,Outbound,Nights per Trip,13.6
HTA05C3,Average Length of Stay by Irish Residents,2003,2003,222,Friends/relatives,01,Domestic,Nights per Trip,3
HTA05C3,Average Length of Stay by Irish Residents,2003,2003,222,Friends/relatives,02,Outbound,Nights per Trip,8.1
HTA05C3,Average Length of Stay by Irish Residents,2003,2003,224,Own holiday home,01,Domestic,Nights per Trip,6.1
HTA05C3,Average Length of Stay by Irish Residents,2003,2003,224,Own holiday home,02,Outbound,Nights per Trip,14.2
HTA05C3,Average Length of Stay by Irish Residents,2003,2003,92,Guest house/bed &breakfast,01,Domestic,Nights per Trip,2.9
HTA05C3,Average Length of Stay by Irish Residents,2003,2003,92,Guest house/bed &breakfast,02,Outbound,Nights per Trip,7.3
HTA05C3,Average Length of Stay by Irish Residents,2003,2003,93,Hotel/conference centre,01,Domestic,Nights per Trip,2.7
HTA05C3,Average Length of Stay by Irish Residents,2003,2003,93,Hotel/conference centre,02,Outbound,Nights per Trip,6.3
HTA05C3,Average Length of Stay by Irish Residents,2003,2003,94,Self catering/rented house,01,Domestic,Nights per Trip,6.5
HTA05C3,Average Length of Stay by Irish Residents,2003,2003,94,Self catering/rented house,02,Outbound,Nights per Trip,12.3
HTA05C3,Average Length of Stay by Irish Residents,2003,2003,999,Other,01,Domestic,Nights per Trip,4.7
HTA05C3,Average Length of Stay by Irish Residents,2003,2003,999,Other,02,Outbound,Nights per Trip,12.4
HTA05C1,Number of Trips by Irish Residents,2004,2004,-,All types of accommodation,01,Domestic,Thousand,7001
HTA05C1,Number of Trips by Irish Residents,2004,2004,-,All types of accommodation,02,Outbound,Thousand,5465
HTA05C1,Number of Trips by Irish Residents,2004,2004,134,Caravan/camping,01,Domestic,Thousand,277
HTA05C1,Number of Trips by Irish Residents,2004,2004,134,Caravan/camping,02,Outbound,Thousand,206
HTA05C1,Number of Trips by Irish Residents,2004,2004,222,Friends/relatives,01,Domestic,Thousand,2512
HTA05C1,Number of Trips by Irish Residents,2004,2004,222,Friends/relatives,02,Outbound,Thousand,1245
