SA2_CODE21,SA2_NAME21,longitude,latitude,CBR_drive_minutes,SYD_drive_minutes,MEL_drive_minutes,CBR_drive_km,SYD_drive_km,MEL_drive_km
121011687,Willoughby,151.20234539778775,-33.80187644,202.12116666666668,30.35033333333333,549.9231666666667,294.26471999999995,20.535259999999997,872.08494
121021403,Asquith - Mount Colah,151.11782512377872,-33.65682076,208.07083333333333,60.925333333333334,555.8728333333333,311.57766,50.94628,889.39788
121021404,Berowra - Brooklyn - Cowan,151.17616394660084,-33.57731092,215.75616666666667,68.61066666666667,563.5581666666666,320.47731,59.84593,898.2975600000001
121021406,Normanhurst - Thornleigh - Westleigh,151.07432459670952,-33.71782066,201.46666666666667,50.88583333333334,549.2685,300.9255,39.750989999999994,878.74575
121021577,Hornsby - East,151.10181921629984,-33.7052025,199.5115,52.366,547.3135,304.41506,43.78369,882.23531
121021578,Hornsby - West,151.09077672175394,-33.6973461,203.65616666666668,56.510666666666665,551.4581666666667,305.34896999999995,44.71761,883.16919
121021579,Wahroonga (West) - Waitara,151.10946660938217,-33.71085495,196.61,49.4645,544.412,303.10994,42.478559999999995,880.9301899999999
121031407,Gordon - Killara,151.16651851749148,-33.76108486,203.95016666666666,41.308166666666665,551.7521666666667,308.88503000000003,26.797580000000004,886.70531
121031408,Lindfield - Roseville,151.1739790567259,-33.77594353,203.743,37.81233333333333,551.545,308.51572,24.90466,886.3359399999999
121031409,Pymble,151.13305006352206,-33.75323631,200.2155,42.887166666666666,548.0175,306.74541,30.81721,884.5656899999999
121031410,St Ives,151.16846120749338,-33.72026166,209.17849999999999,50.818333333333335,556.9803333333333,312.05922,32.39574,889.8794399999999
121031411,Turramurra,151.14969435923172,-33.70976276,204.4845,51.68183333333333,552.2865,307.69828,36.389199999999995,885.5185
121031412,Wahroonga (East) - Warrawee,151.12828402724384,-33.71355407,201.13549999999998,51.73233333333334,548.9375,305.14621999999997,36.13011,882.9664399999999
121041413,Cremorne - Cammeray,151.22683669626363,-33.83219589,198.2235,25.8365,546.0253333333334,290.11581,17.87073,867.9360600000001
121041414,Crows Nest - Waverton,151.19649920308987,-33.83414925,200.7095,29.161,548.5113333333334,291.21844,19.148880000000002,869.03869
121041416,Neutral Bay - Kirribilli,151.2179949403378,-33.8399851,198.65533333333332,26.26833333333333,546.4571666666667,289.30341,17.05833,867.1236899999999
121041417,North Sydney - Lavender Bay,151.20566401605123,-33.83998236,197.86516666666665,26.514,545.6671666666666,290.21553,17.24394,868.03575
121041688,Mosman - North,151.24283481673044,-33.81878956,202.82583333333332,30.439,550.6278333333333,292.47821999999996,20.23314,870.2985
121041689,Mosman - South,151.24645670197458,-33.83827522,203.34183333333334,30.955,551.1438333333333,292.90181,20.65671,870.72206
122011418,Balgowlah - Clontarf - Seaforth,151.25361290389938,-33.79708759,209.20649999999998,36.81966666666666,557.0085,295.77875,23.533669999999997,873.599
122011419,Manly - Fairlight,151.29283061474453,-33.80296961,217.83083333333335,45.443999999999996,565.6328333333333,299.98581,27.74072,877.80606
122021420,Avalon - Palm Beach,151.32889691183638,-33.61029688,247.4116666666667,84.1735,595.2136666666667,337.84056,53.23196,915.6608100000001
122021421,Bayview - Elanora Heights,151.26277124439218,-33.64454995,226.0765,66.20083333333334,573.8785,325.98791,43.68383,903.80813
122021422,Newport - Bilgola,151.3142079766378,-33.65349651,237.10316666666668,73.865,584.9050000000001,331.04166,46.43306,908.86188
122021690,Mona Vale - Warriewood (North),151.29974189147632,-33.67778791,227.81683333333334,67.22233333333334,575.6188333333333,326.75306,43.160419999999995,904.5733100000001
122021691,North Narrabeen - Warriewood (South),151.29925403496983,-33.69715457,230.60616666666667,63.78216666666666,578.4081666666666,328.38691,40.71279,906.20713
122031424,Beacon Hill - Narraweena,151.26441135484384,-33.75179109,221.64283333333333,49.4535,569.4448333333333,306.09994,29.96042,883.9201899999999
122031425,Cromer,151.2659914127747,-33.73105666,226.46516666666668,54.69433333333333,574.2669999999999,308.86546999999996,35.13603,886.6856899999999
122031427,Forestville - Killarney Heights,151.21627487011585,-33.76733123,213.61966666666666,41.84883333333333,561.4216666666667,301.30890999999997,27.57947,879.12913
122031429,Freshwater - Brookvale,151.28182192620656,-33.76999095,219.38083333333333,46.994,567.1828333333334,301.02772,28.78263,878.84794
122031430,Manly Vale - Allambie Heights,151.25148241219705,-33.77257261,217.31199999999998,44.925,565.1139999999999,300.44875,28.20367,878.269
122031432,Terrey Hills - Duffys Forest,151.21130093837616,-33.6694709,220.87016666666665,61.00633333333334,568.6721666666667,321.36566,39.21436,899.18588
122031692,Belrose,151.2110887854853,-33.72197899,218.13549999999998,50.867666666666665,565.9375,319.54394,32.36431,897.3641899999999
122031693,Collaroy - Collaroy Plateau,151.29653086722632,-33.73484673,228.55666666666667,56.16983333333334,576.3586666666666,306.08334,33.83825,883.9035600000001
122031694,Dee Why (South) - North Curl Curl,151.2908922052196,-33.76159294,221.60183333333333,49.21483333333333,569.4038333333334,302.52331,30.278209999999998,880.34356
122031695,Dee Why - North,151.28644404966238,-33.75036333,222.82833333333335,50.4415,570.6303333333333,302.84703,30.60194,880.66725
122031696,Frenchs Forest - Oxford Falls,151.2226248210029,-33.74191332,217.5745,45.803666666666665,565.3765,303.26259000000005,29.53316,881.0828100000001
122031697,Narrabeen - Wheeler Heights,151.2829597877364,-33.71982359,230.72216666666665,58.335166666666666,578.5241666666666,307.13746999999995,34.892379999999996,884.95769
123011433,Camden - Ellis Lane,150.67969702035904,-34.06242996,157.3885,52.17633333333333,505.1905,235.27836,61.110910000000004,813.09863
123011698,Currans Hill,150.7692717529318,-34.04262505,150.96366666666665,40.76833333333333,498.7656666666666,233.70935999999998,49.673730000000006,811.5295600000001
123011699,Elderslie - Narellan,150.71904774431377,-34.04130957,157.98549999999997,47.790333333333336,505.7875,237.28697,53.25134,815.10719
123011700,Harrington Park,150.7428603814534,-34.02521167,157.5475,47.352333333333334,505.34950000000003,238.15614000000002,54.12051,815.97638
123011701,Mount Annan,150.76160076352375,-34.06189573,151.96099999999998,41.76583333333333,499.763,234.35655,50.320910000000005,812.17675
123011702,Spring Farm,150.72312873206903,-34.07128557,159.02700000000002,48.83183333333333,506.829,240.80591,56.77029,818.62613
123021436,Bradbury - Wedderburn,150.82501381684216,-34.12067825,168.65416666666667,60.664833333333334,516.4561666666666,242.86914000000002,59.92232,820.68938
123021437,Campbelltown - Woodbine,150.80519772157675,-34.05838579,151.38866666666667,39.44833333333334,499.19066666666663,233.32852,46.16675,811.14875
123021438,Claymore - Eagle Vale - Raby,150.80706968939532,-34.02295682,158.52783333333335,36.738166666666665,506.32983333333334,239.22792,43.46486,817.04813
123021439,Holsworthy Military Area,150.88073707219064,-34.11199839,159.1744167,38.32416667,506.9764167,238.927075,44.783155,816.747315
123021441,Leumeah - Minto Heights,150.85755515747857,-34.05307049,159.821,39.91016666666667,507.623,238.62623000000002,46.10145,816.4465
123021443,Minto - St Andrews,150.84505444101669,-34.02888926,159.12550000000002,40.437,506.9275,243.64991,44.87755,821.47013
123021444,Rosemeadow - Glen Alpine,150.77819015770746,-34.12519424,159.29233333333335,51.30316666666667,507.09433333333334,239.66438,56.71755,817.48463
123021703,Denham Court - Bardia,150.83863229612703,-33.98157631,154.88016666666667,36.08416666666667,502.68216666666666,242.41216,36.9556,820.23238
123021704,Glenfield,150.89290820409633,-33.97138224,160.249,32.699333333333335,508.05100000000004,248.56973000000002,32.21002,826.39
123021705,Ingleburn,150.857966,-34.00272462,154.27433333333332,36.4225,502.07633333333337,241.37258,39.4105,819.19281
123021706,Macquarie Fields,150.89522519862197,-33.99880838,161.92366666666666,36.80733333333333,509.72566666666665,246.33216000000002,35.19805,824.15238
123031445,Bargo,150.5935609644715,-34.27961706,133.16866666666667,64.59700000000001,480.9706666666667,200.95753,84.88903,778.77775
123031446,Douglas Park - Appin,150.70836014088763,-34.17703317,142.91049999999998,55.44166666666667,490.7125,219.84658,63.293510000000005,797.66681
123031447,Picton - Tahmoor - Buxton,150.55309410919125,-34.19749453,144.10316666666668,69.08983333333335,491.9051666666667,213.95398,85.1127,791.77425
123031448,The Oaks - Oakdale,150.54389137294012,-34.04934538,166.60933333333332,69.77250000000001,514.4113333333333,235.09735999999998,76.7923,812.91763
124011449,Blackheath - Megalong Valley,150.27257602827132,-33.64195856,248.806,130.29416666666665,590.5205000000001,315.44966,119.82932000000001,885.21306
124011450,Blaxland - Warrimoo - Lapstone,150.61716612967757,-33.74604694,192.37416666666667,58.36833333333333,540.1761666666666,293.53244,68.70516,871.3526899999999
124011451,Blue Mountains - North,150.4682328949814,-33.5961227,220.4415,86.43566667,568.2435,313.196535,88.369255,891.016785
124011452,Katoomba - Leura,150.3048456704221,-33.70409266,248.50883333333334,114.503,596.3108333333333,332.86063,108.03335000000001,910.68088
